county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
NANDI NORTH,"35,257",0.4,0.9,2.0,0.3,92.2,3.8,0.4,0.0
NANDI SOUTH,"37,038",0.4,0.6,2.8,0.2,91.6,4.2,0.2,0.0
TINDERET,"24,238",0.3,0.5,2.3,0.1,92.7,3.9,0.1,0.0
BARINGO,"141,877",0.4,0.4,4.1,0.3,81.4,13.3,0.1,0.0
BARINGO CENTRAL,"23,523",0.5,0.8,8.2,0.2,71.2,19.0,0.0,0.0
BARINGO NORTH,"23,345",0.2,0.4,1.4,0.1,92.9,4.8,0.2,0.0
EAST POKOT,"14,392",0.4,0.1,0.9,0.3,95.6,2.3,0.3,-
KOIBATEK,"30,752",0.6,0.5,6.2,0.3,70.2,22.2,0.0,0.0
MARIGAT,"19,658",0.6,0.5,3.2,0.4,78.8,16.5,0.1,0.0
MOGOTIO,"18,169",0.4,0.4,4.1,0.2,80.7,14.0,0.2,-
TIATY EAST,"12,038",0.3,0.2,0.7,0.3,95.6,2.7,0.2,0.0
LAIKIPIA,"145,776",0.4,2.3,21.2,0.3,58.0,17.7,0.1,0.0
LAIKIPIA CENTRAL,"29,877",0.3,3.0,25.0,0.4,57.2,14.0,0.0,0.0
LAIKIPIA EAST,"31,311",0.8,4.6,38.2,0.4,38.2,17.7,0.2,0.0
LAIKIPIA NORTH,"7,694",0.2,0.4,4.2,0.4,85.8,8.8,0.1,0.0
LAIKIPIA WEST,"32,821",0.1,1.0,7.6,0.3,73.6,17.4,0.1,0.0
NYAHURURU,"44,073",0.4,1.4,19.7,0.3,56.0,22.0,0.1,0.0
NAKURU,"598,237",0.6,5.4,30.0,0.4,39.6,23.9,0.1,0.0
GILGIL,"49,405",0.5,4.2,31.3,0.3,44.2,19.4,0.0,0.0
KURESOI NORTH,"40,168",0.3,0.6,2.6,0.2,83.6,12.5,0.2,0.0
KURESOI SOUTH,"34,543",0.1,0.1,2.3,0.2,88.4,8.8,0.1,0.0
MOLO,"41,439",0.4,1.0,11.3,0.2,58.4,28.6,0.1,0.0
NAIVASHA,"111,493",0.9,9.3,45.7,0.4,20.5,23.2,0.1,0.0
NAKURU EAST,"60,066",0.9,8.9,61.1,0.5,3.6,25.0,0.0,0.0
NAKURU NORTH,"61,582",0.6,3.3,34.8,0.9,31.2,29.2,0.0,0.0
NAKURU WEST,"64,429",1.0,14.1,43.3,0.6,7.7,33.2,0.0,0.0
NJORO,"61,156",0.3,1.5,12.4,0.3,56.4,29.0,0.1,0.0
RONGAI,"52,248",0.6,2.7,21.1,0.5,52.1,22.8,0.1,0.0
SUBUKIA,"21,708",0.3,1.3,8.1,0.3,74.2,15.7,0.1,0.0
NAROK,"238,115",0.5,1.0,8.2,0.5,71.7,17.7,0.4,0.0
NAROK EAST,"24,860",0.7,1.7,9.0,0.3,60.1,27.8,0.4,0.0
NAROK NORTH,"59,802",0.8,1.7,19.4,0.8,42.5,34.4,0.5,0.0
NAROK SOUTH,"46,549",0.3,0.2,2.9,0.4,85.9,10.0,0.4,0.0
NAROK WEST,"37,782",0.2,0.7,5.1,0.6,85.6,7.3,0.5,0.0
TRANS MARA EAST,"20,439",0.1,0.2,0.8,0.2,96.6,1.6,0.4,0.0
TRANS MARA WEST,"48,683",0.5,1.2,4.4,0.3,78.8,14.2,0.4,0.0
MAU FOREST,-,-,-,-,-,-,-,-,-
KAJIADO,"313,218",1.2,12.7,47.2,0.7,29.0,9.1,0.2,0.0
ISINYA,"71,395",2.6,19.4,64.3,0.7,6.3,6.5,0.1,0.1
KAJIADO CENTRAL,"37,059",0.6,6.2,24.0,0.4,51.6,16.5,0.7,0.0
KAJIADO NORTH,"100,908",0.9,16.6,72.6,0.7,4.5,4.7,0.0,0.0
