county,households,Electricity,Paraffin,lpg,biogas,firewood,Charcoal,Solar,not_stated
MARSABIT SOUTH,"11,563",0.1,0.1,2.1,0.1,94.2,3.3,0.1,0.0
MOYALE,"17,591",0.8,0.8,2.9,0.3,76.9,18.1,0.1,0.0
NORTH HORR,"9,601",0.3,0.0,0.3,0.4,96.8,1.7,0.1,0.4
SOLOLO,"7,162",0.6,0.9,0.7,0.2,95.4,1.8,0.4,0.0
ISIOLO,"53,217",1.2,1.1,12.6,0.5,60.5,23.9,0.3,0.0
GARBATULLA,"17,047",1.7,0.2,1.1,0.4,90.3,5.8,0.5,0.0
ISIOLO,"27,612",1.1,1.9,23.3,0.7,31.9,41.0,0.2,0.0
MERTI,"8,558",0.6,0.1,0.9,0.1,93.5,4.7,0.2,-
MERU,"423,931",0.5,2.2,12.6,0.5,74.3,9.8,0.1,0.0
BUURI EAST,"23,737",0.5,1.8,10.5,0.3,79.0,7.8,0.0,0.0
BUURI WEST,"27,905",0.3,2.8,22.3,0.3,50.5,23.7,0.1,0.0
IGEMBE CENTRAL,"51,848",0.6,1.5,4.2,0.4,84.2,8.9,0.2,0.0
IGEMBE NORTH,"38,716",0.6,3.2,5.6,0.5,82.9,6.7,0.4,0.0
IGEMBE SOUTH,"43,222",0.9,2.8,12.6,0.7,70.1,12.7,0.2,0.1
IMENTI NORTH,"57,556",0.4,4.2,34.4,0.5,47.5,12.9,0.0,0.0
IMENTI SOUTH,"63,954",0.4,1.7,12.6,0.6,75.3,9.4,0.0,0.0
MERU CENTRAL,"39,498",0.2,1.2,8.3,0.5,83.8,5.8,0.1,0.0
TIGANIA CENTRAL,"24,983",0.2,0.4,3.7,0.2,90.9,4.5,0.1,0.0
TIGANIA EAST,"16,791",0.5,0.9,5.3,0.3,79.8,12.9,0.3,0.1
TIGANIA WEST,"35,402",0.6,1.4,5.3,0.3,88.4,3.7,0.1,0.0
MERU NATIONAL PARK,46,-,-,87.0,2.2,-,10.9,-,-
MT. KENYA FOREST,273,-,0.4,4.4,-,94.1,1.1,-,-
THARAKA-NITHI,"109,450",0.2,1.5,10.0,0.3,82.2,5.7,0.1,0.0
IGAMBANG'OMBE,"14,383",0.1,0.7,3.5,0.2,90.9,4.4,0.1,0.0
MAARA,"34,779",0.2,1.6,11.0,0.3,81.8,4.9,0.0,0.0
MERU SOUTH,"28,211",0.4,2.9,20.3,0.3,69.4,6.6,0.0,0.0
THARAKA NORTH,"13,403",0.3,0.2,1.2,0.2,92.9,5.1,0.1,0.1
THARAKA SOUTH,"18,603",0.2,0.4,3.4,0.3,88.3,7.2,0.2,0.0
MT. KENYA FOREST,71,-,7.0,73.2,-,16.9,2.8,-,-
EMBU,"182,427",0.4,4.0,18.4,0.4,70.3,6.2,0.2,0.0
EMBU EAST,"39,586",0.5,2.3,10.5,0.5,81.2,4.9,0.1,-
EMBU NORTH,"24,294",0.5,2.3,14.5,0.5,76.0,6.3,0.0,0.0
EMBU WEST,"43,126",0.6,7.5,42.1,0.5,41.7,7.6,0.0,0.0
MBEERE SOUTH,"45,924",0.2,4.0,11.7,0.3,77.9,5.7,0.2,0.0
MBEERE NORTH,"29,483",0.2,2.9,8.2,0.5,80.6,6.7,0.8,0.0
MT. KENYA FOREST,14,-,-,35.7,-,57.1,7.1,-,-
KITUI,"261,814",0.2,2.7,6.7,0.3,81.3,8.6,0.2,0.0
IKUTHA,"16,579",0.1,1.8,1.9,0.2,89.9,6.1,0.1,0.0
KATULANI,"12,166",0.1,1.3,5.6,0.2,86.8,5.9,0.1,-
KISASI,"10,860",0.1,2.0,3.2,0.1,87.7,6.8,0.1,0.0
KITUI CENTRAL,"29,026",0.6,7.0,22.6,0.3,54.0,15.4,0.1,0.0
KITUI WEST,"17,465",0.3,2.5,8.4,0.3,80.4,8.1,0.1,-
KYUSO,"15,969",0.1,1.1,3.1,0.2,88.6,6.8,0.3,0.0
LOWER YATTA,"15,021",0.3,2.5,5.6,0.3,85.4,5.8,0.3,0.0
MATINYANI,"11,497",0.4,1.3,5.0,0.2,87.8,5.3,0.1,-
MIGWANI,"18,843",0.3,1.5,4.9,0.2,85.5,7.3,0.2,0.0
MUMONI,"6,451",0.0,0.9,2.4,0.1,92.2,4.4,0.0,0.0
MUTITU,"11,490",0.2,1.6,1.8,0.3,89.5,6.1,0.3,0.1
MUTITU NORTH,"4,929",0.2,1.0,3.0,0.2,86.5,9.0,0.0,0.0
MUTOMO,"23,034",0.1,2.0,2.9,0.2,87.5,7.0,0.3,0.0
MWINGI CENTRAL,"26,745",0.5,6.0,10.5,0.5,66.7,15.4,0.4,0.0
MWINGI EAST,"18,725",0.1,0.9,2.0,0.3,89.6,7.1,0.0,0.0
NZAMBANI,"11,276",0.2,3.1,6.8,0.1,79.6,10.1,0.1,-
THAGICU,"3,289",0.2,0.2,0.7,0.1,94.6,3.2,0.9,-
TSEIKURU,"8,449",0.1,0.7,2.4,0.2,90.9,5.4,0.2,-
MACHAKOS,"399,523",0.7,11.1,27.5,0.5,53.4,6.7,0.1,0.0
ATHI RIVER,"109,723",1.4,25.3,61.6,0.6,6.7,4.2,0.1,0.1
KALAMA,"14,137",0.6,2.7,6.5,0.3,81.8,8.0,0.1,0.0
KANGUNDO,"26,115",0.3,3.0,8.1,0.3,82.4,5.9,0.0,0.0
KATHIANI,"28,730",0.2,2.4,7.1,0.4,83.0,6.8,0.0,0.0
MACHAKOS,"50,753",0.7,11.6,33.5,0.8,42.1,11.3,0.0,0.0
MASINGA,"36,196",0.3,2.9,6.6,0.4,83.2,6.4,0.1,0.0
MATUNGULU,"44,399",0.3,8.1,21.0,0.7,62.0,7.7,0.1,0.0
MWALA,"45,809",0.4,2.9,6.9,0.3,83.3,6.0,0.1,0.0
YATTA,"43,661",0.7,6.2,11.9,0.5,73.1,7.3,0.2,0.0
MAKUENI,"243,979",0.2,4.6,8.6,0.2,76.1,10.1,0.1,0.0
KATHONZWENI,"18,362",0.1,2.9,4.8,0.2,85.9,6.0,0.1,0.0
KIBWEZI,"47,594",0.2,5.5,7.8,0.2,73.2,12.9,0.1,0.0
KILUNGU,"14,563",0.1,0.8,4.3,0.2,87.7,6.9,0.1,0.0
MAKINDU,"21,662",0.4,6.5,12.0,0.4,61.8,18.8,0.2,0.0
MAKUENI,"34,352",0.2,7.1,16.6,0.3,66.4,9.4,0.1,0.0
MBOONI EAST,"23,724",0.1,2.6,4.2,0.2,86.5,6.3,0.2,0.0
MBOONI WEST,"24,807",0.1,1.4,3.8,0.2,84.3,10.1,0.1,0.0
MUKAA,"28,109",0.3,4.6,9.5,0.4,74.8,10.5,0.0,0.0
NZAUI,"30,806",0.2,6.4,9.1,0.2,76.6,7.5,0.0,0.0
NYANDARUA,"178,224",0.3,1.3,12.5,0.2,70.0,15.6,0.0,0.0
KINANGOP,"30,847",0.3,1.9,13.1,0.3,66.5,17.9,0.0,0.0
NYANDARUA SOUTH,"25,650",0.2,1.5,17.3,0.2,68.3,12.4,0.1,0.0
MIRANGINE,"17,880",0.3,0.9,6.8,0.2,77.7,14.1,0.1,0.0
KIPIPIRI,"25,077",0.3,0.8,6.6,0.2,80.5,11.4,0.1,0.0
NYANDARUA CENTRA,"21,852",0.3,1.6,19.6,0.2,59.2,19.2,0.0,0.0
NYANDARUA WEST,"29,003",0.4,1.5,15.1,0.2,62.7,20.0,0.0,0.0
NYANDARUA NORTH,"27,906",0.1,0.8,8.3,0.3,77.2,13.3,0.0,0.0
ABERDARE NATIONAL PARK,9,-,-,44.4,-,33.3,22.2,-,-
NYERI,"244,564",0.5,3.3,23.2,0.5,64.8,7.5,0.0,0.0
TETU,"24,122",0.4,1.0,9.2,0.5,85.5,3.3,0.0,0.0
KIENI EAST,"36,751",0.4,4.0,25.9,0.7,56.8,12.0,0.0,0.0
KIENI WEST,"27,530",0.6,1.5,11.1,0.5,72.6,13.5,0.1,0.0
MATHIRA EAST,"33,945",0.6,4.3,29.0,0.5,59.9,5.7,0.0,0.0
MATHIRA WEST,"18,892",0.6,1.1,9.1,0.7,84.9,3.6,0.0,0.0
NYERI SOUTH,"28,103",0.5,2.3,15.1,0.4,78.8,2.8,0.0,0.0
MUKURWE-INI,"27,036",0.3,1.4,9.0,0.6,86.1,2.7,0.0,0.0
NYERI CENTRAL,"48,036",0.6,6.8,49.3,0.3,31.7,11.2,0.0,0.0
MT. KENYA FOREST,101,-,1.0,34.7,-,64.4,-,-,-
ABERDARE FOREST,48,-,-,97.9,-,-,2.1,-,-
KIRINYAGA,"203,576",0.3,5.5,23.8,0.4,65.4,4.4,0.0,0.0
